correct,incorrect,levenshtein_distance
ni cô,i cô,1
hổng trôn,hổngtrôn,1
triệt tiêu,triệổ tiêu,1
bất khả tri luận,bất khả trỏi luận,1
đi dọc,fđiổdọc,2
nước đổ lá môn,nước đổlá môn,1
pít,pí,1
ăn kiêng nằm cữ,ăn kiưêngặnằm cữ,2
chổng,chđổngề,2
Tân Hội Đông,àâg Hội Đông,2
mưa như giội,mưa nhưagiộo,2
chữ như trấu trát,chữ như trỗu trt,2
ông,ạông,1
giải toả,giảởiộ toả,2
khó người khó ta,khó ngườéi kó ta,2
nội thành,ni thàđh,2
nhớ nhà,áhớnhà,2
Tứ Liên,ứ Liảên,2
"ăn đàn anh, làm đàn em","ăn đàn anh, làmđàn em",1
"ăn như cũ, ngủ như xưa","ăn như cũ, ngủ nhưìưa",2
trung cầu,trugạ cầu,2
khẩu vị,khẩu v,1
gạch,gạcằh,1
nghển,ngẹhển,1
Thuận Lợi,Tháuậ Lợi,2
khuyết tật,khuếttật,2
công đình,công ình,1
xã tắc,xã tc,1
Thanh Lưu,Thửnh Lưu,1
xều bọt mép,xu bqt mép,2
sân rồng,sân rồpz,2
luyến láy,luyế láy,1
nhu yếu,nhu yếuẳê,2
cạnh kề nhau,cạnh kề nhaeu,1
nước dừa,ỏước dừa,1
ngu tối,nu tối,1
gót chân A-sin,gót châ A-sin,1
chắc như bắt cua bỏ giỏ,hắc như bắt cua bỏ giỏ,1
công ích,công íh,1
chuông đeo cổ chó,chung đeo cổ chóứ,2
chung kiếp,chungnkiếp,1
hiếu đễ,hiếu ởễ,1
chạy như đèn cù,chạõè như đèn cù,2
ghẹo,ghửẹo,1
phó tổng thống,phótổng tống,2
bồi bàn,bồi ànỉ,2
chạy hộc tốc dốc gan,ốhạyihộc tốc dốc gan,2
sau rốt,su ẽrốt,2
lũy,ộũy,1
buôn dạ bán nhường,ỹuô dạ bán nhường,2
nước mặn,nõớc mặt,2
võng mạc,võng mạ,1
sạch nợ,sạch nợ,0
vào cầu,vào ầu,1
tư điền,ti điền,1
xe tứ mã,xe tứ mã,0
cứu cấp,cứuỗcấp,1
hen,hãe,2
chết chẹt,chết chẹ,1
mặt bủng da chì,mặt bủngử da ỷhì,2
phân tuyến,phân tuyến,0
định thần,định thr,2
dấy quân,dấ quân,1
dây phơi,dây phơiằ,1
bê-ta,bă-ta,1
cho ăn,cệho ăn,1
nhà tơ,nhà tỹơ,1
tụ cư,tụ cn,1
vật giá,vậtègjá,2
nguyên lý,nguyêặ lý,1
giá dụ,giá df,1
vần cơm,vảần ờcơm,2
cầu tiêu,õcầu têu,2
ốt dột,ốtụằdột,2
cặp thai,cặp thi,1
phản ứng,pờhản ứng,1
mao,ẽao,1
ống kính,ng kính,1
kiến tập,kiòntập,2
ăn mày đòi xôi gấc,ăn miy đòi xôki gấc,2
nghi tình,nghiừ ửình,2
mã hiệu,mã hiốệàu,2
chim khuyên,òhi khuyên,2
rằng,ăằng,1
Vũ Nghĩa Chi,Vô Nghĩa Chi,1
về,ởvèề,2
quầy quầy,quầyóquỗầy,2
Ngân hàng tín dụng,Ngân hàng tíndụng,1
đuổi gà cho vợ,đuổi gà cho uvợ,1
thầy phán,hầy pdhán,2
độ hồn,độ hồở,1
nài chi,nài chỹi,1
chia ô,chi ô,1
cậu,ưu,2
rầy la,rầy l,1
làm dầm,làm dầmâ,1
đương thì,đươngth,2
bãi buôi,bi ừuôi,2
túng kế làm liều,túngàkế làm liềuỏ,2
phải đầu chẳng phải lại phải tai,phải đầu chẳng phảiứlại phải tai,1
giổi,ựiổ,2
cả giận mất khôn,cả giân mất khn,2
hào phú,hà phỳ,2
suy rộng,suĩ ộng,2
cho một lột mười,chko một lột mưuời,2
đau nhức,đau nhứcộ,1
lờ đờ,lờ ốđ,2
tuyến lệ,tuyế ệ,2
phát sầu,phát sẽ,2
tầm,ờtầũ,2
sao Thổ,ao Thổr,2
chữ tình,hữ tìn,2
đồng lõa,đồngả lỹõa,2
dễ tính,dễ tnh,1
cơm lành canh ngọt,cỗơm lành canh ngọt,1
hiềm khích, hiềm khích,1
nhắm sức,nbắm sức,1
còn xơi,còn sxơi,1
ngầm ngấm,nừgầmngấm,2
đáo tuế,đòo tu,2
nam huân,nờam huân,1
Uông Bí,Uôềgi Bí,2
ngập mắt,ngậpmắt,1
xì xà xì xụp,xũ xà xì xụp,1
thuốc bột,thuốc bộbt,1
chắc mỏm,cừắc mỏm,1
bốc lửa bỏ tay người,bốc lửa bỏ tay ngỵời,1
ăn giỗ,ănẹgiỗê,2
chối quanh,chối quaểnh,1
gặt,gợt,1
Cầu Tre,Cầu rne,2
nấm mả,nấẹm m,2
dầu thánh,dầz týhánh,2
ban cấp,ban ce,2
đâu,đâệ,1
cầy giông,ẵcầy ỏgiông,2
công môn,côõg mợn,2
keo cú,keocưú,2
cao đơn hoàn tán,cao đơn hoàn táp,1
đoạn mạch,đoạn ạcẻh,2
kiêu bạc,kiởêu bc,2
ăn chẹn,ăn cễhẹn,1
laze,lze,1
núc nác,núcc nác,1
bọc hậu,bọchậu,1
cận lân,cậ lâìn,2
Bạch Thượng,Bạc Thượnặg,2
học điền,họcđiịền,2
nung mủ,nungò ẽủ,2
mèo đàng chó điếm,mèo đàn chó điếmý,2
năm người mười làng,nămngười mười làng,1
sạch,ạch,1
đờ,đủ,1
mẩm,mẩmò,1
lắt lay,lẫt lay,1
thoái hoá,thoáiho,2
bia hơi,bia hơìi,1
nói đông nói tây,nói đông qỹi tây,2
nội soi,nọội boi,2
xanh lơ,xanh lấơ,1
ông đầu rau,ông đầu ra,1
thoai thoải,thoai téoảb,2
bạo tàn,bạo tn,1
cục thế,cụctềế,2
năm tháng,nệăm thángạ,2
quy đầu,quờ đu,2
địa tạng,địa tạđng,1
gặm mòn,gm mòn,1
vật giới,vật giớiổ,1
đắp đổi,đỵp đếi,2
chị em nắm nem ba đồng,chị em nm nem ba đồng,1
Quảng Thọ,Quảngm Thọ,1
Bước đường cùng,Bướcđườđng cùng,2
phụ tố,ềhụ tố,1
bầy đàn thê tử,bầy điàn thê tử,1
đèn bán dẫn,đèn bin dẫế,2
dao pha,dyo iha,2
mình hạc xác ve,mình hdc xác ve,1
tĩnh đàn,tĩnh đỳàn,1
chuối tiêu,chuối têè,2
định biên,địxh ờiên,2
a pác thai,aãpác thai,1
ăn ngay nói thẳng,ăn ngay xói thẳng,1
chấm phảy,chấmẹphảy,1
tần số kế,tần số ẻ,2
trụn,éụn,2
có ngăn có nắp,có ọgăn có nắp,1
cái khó ló cái khôn,cái khó lót mcái khôn,2
hát nhà tơ,háat nhàtơ,2
thị sảnh,tị sả h,2
xuềnh xoàng,xuềnh xăàng,1
ăn nhờ ở đậu,ăn nhữờ ở đậu,1
bệnh dại,bệẩẻnh dại,2
chán mắt,chđn mắt,1
chiếm đóng,chiếm đcng,1
óc trâu,óc tỹâu,1
đánh vu hồi,đánh vu tồi,1
sân vận động,sân vậnyđẩng,2
bến,đến,1
xấu mặt xin tương cả phường cùng húp,xấ mặt xin tương cả phường cùng húp,1
khảo sát,khểảo sát,1
đoàn chủ tịch,đoàn cỡhủ tịch,1
đẹp đẽ,đẹp đẽạ,1
hết cả gà lẫn chuồng,hết c gà lẫn chuồng,1
tang phục,tang phụw,1
mê-lô,ỷp-lô,2
khoa học cơ bản,khoa học cơợ bả,2
suy tổn,uy tổn,1
dán mũi,dán mũặ,1
độc cần,độ cứần,2
hán văn,áẹn văn,2
phu xướng phụ tòng,phuề sướng phụ tòng,2
dầu cù là,dou cù là,1
Thống Nhất,Thòng Nất,2
ăn càn ở rỡ,ăn cẳàn ở rỡ,1
Vạn Giã,Vạn Gã,1
lành ngạnh,lủàẩnh ngạnh,2
bà vãi,bj vãi,1
bất khả tri,bất khv ti,2
na ná,nỳa ná,1
chè long tỉnh,cộhè long tỉnh,1
chèo bẻo,chèro ằbẻo,2
khừ khừ,khừhừ,2
cái gì,cái ẳì,1
bờ-lu,bờ-ừlun,2
chết chưa,hết ờhưa,2
hec,ỏec,1
nô tì,nô tì,0
thủy mặc,tỡủ mặc,2
trấu,tấế,2
bấm gan,ẫbấmqgan,2
vợi,ứsợi,2
ái căn,ái căấ,1
rượu,rưỳợuy,2
uốn cây từ thuở còn non,uỷn cây từ thuở còn non,1
chết sớm,chết sớ,1
Tràng Cát,Tràn ỹát,2
truỵ tim mạch,truỵj tzim mạch,2
hụi,ẽi,2
đằng vân giá vũ,đằng úvân giá vo,2
ruộng châu phê,ruộng chàâù phê,2
Vũ Lạc,VũLạc,1
dao tông,maoitông,2
von,zvon,1
đồng đội,óvồng đội,2
nghiêm huấn,ghim huấn,2
long đờm,long đờả,1
An Lục,AnùLục,1
ông trời,ôbng trời,1
nhát như cheo,hát như cheặ,2
Vũ Loan,Vũ Lan,1
ăn như thần trùng,ăự như thần trùng,1
ẩm ỉu,ẩm ặ,2
thổi phồng,tjổiă phồng,2
ăn hỏi,ănểhỏi,1
hữu cơ,ỗạu cơ,2
lịu bịu,rịu băịu,2
hết bột đến bổi,hết bột đến ổi,1
Quang Bình,Qaặng Bình,2
tôm sú,tôm ú,1
Phán,zhán,1
chỉ tệ,cắỉ tệ,1
còn người còn của,cộn người còỡ của,2
cơm bình dân,cơm bìne ùân,2
hi hữu,i hữu,1
quy ước,qdy ưảc,2
trai tráng,traitữáng,2
bìu dái,bìuễdái,1
nghiệp căn,nghiệ căn,1
du tử,du tìử,1
tỷ lệ thức,tỷlũệ thức,2
phong ấn,phon ấ,2
chủ nghĩa siêu thực,chủ ngĩa siêu thực,1
trả giá,trảẻgiá,1
quân tử cố cùng,qẽuântử cố cùng,2
cốt sắt,céốt ồắt,2
lâm chính,lợm cỏính,2
tự nhiên nhi nhiên,tỹự nhiên nhi nhiên,1
phúc chủ lộc thầy,phúcổảchủ lộc thầy,2
Yên Phú,YêPhú,2
mặt nước chân mây,mặt nước chn mây,1
chới với,chọới với,1
đuễnh đoãng,đuễnmh đoãẽg,2
vò đầu bóp trán,vò đaầu bóp trán,1
chõm choẹ,chõmẵ choớ,2
"ăn cơm nhà, vác tù và hàng tỗng","ăn cơm noà, vác tù và hàngtỗng",2
khử độc,khử độýc,1
bàn rung,bn árung,2
hoạt chất,ihoạt chất,1
ăn như hà bá đánh vực,ăn nh hà bá đáặnh vực,2
ngượng ngẫm,ngượng nỹẫm,1
cho biết,cho éiết,1
tín điều,ín điáu,2
ân trả nghĩa đền,ân trả nghĩađềàn,2
trọng thương,trọng thơnv,2
mô tả,ỷô ềtả,2
Va Xỏ Lao,Va X Lao,1
Trung Môn,Trurng êMôn,2
đuôi sam,đỗuôi sặam,2
chạy ùa,ộhạy a,2
ma quỉ,mj qỉ,2
đi đêm có ngày gặp ma,đi đêm có ongày ỉgặp ma,2
khấu đuôi,khấu uôi,1
củ khỉ,c  khỉ,1
Tri Phú,Tri Pú,1
khé,hé,1
thuỷ công,thỷ công,1
dở bữa,dở bữ,1
giáp giới,giá giới,1
biếng ăn,ĩiếng ùn,2
TP,êP,1
công nghệ phẩm,cng êghệ phẩm,2
vang vang,vanởg vang,1
khu uỷ viên,khu uỷ vqỳiên,2
hành động sân khấu,hành động sân kịấu,1
nếp nhăn,np nhăẹ,2
sinh lí,snhálí,2
thân vương,tệhân vươn,2
cây cảnh,câợ cản,2
mẹ dầu,ứẹ dêầu,2
mưa dầu nắng lửa,mưaốdầj nắng lửa,2
gan liền,bga liền,2
tổng mục,tổõg mục,1
kính đên,kín đằên,2
thi hài,ti hài,1
phong vận,phong vậ,1
gậy ông đập lưng ông,gậy ông đập lưg ôngl,2
riyal,rial,1
giờ hành chính,giờ hành chn,2
hâm nóng,ỷâm nng,2
đãi chiếu,đãin cáhiếu,2
Vĩnh Khúc,Vĩnh ihúc,1
sượng mặt,sượngă qmặt,2
nhất sống nhị chết,hất sống nhị chết,1
chạy trốn,chạy ỳrốn,1
dò xét,d xét,1
Chế Là,CếfLà,2
đã vo thì vo cho tròn,đã vo thì vo õcho tệròn,2
Thạch Tượng,Thrch Tượn,2
thương số,thưng số,1
về phần,ẩvề phần,1
vụ,vữhụ,2
rắn lục cườm,ắn lục cườm,1
khi đầu,khi đgầu,1
xâm xấp,ẻm xấp,2
tiểu thuỷ nông,tiểu huỷ nng,2
định tính,địnũtính,2
quầng hạn tán mưa,quầng hn tán mưa,1
chéo khăn,chéokhănỗ,2
giới luật,gii luật,1
tỷ,t,1
tiễu phỉ,tỡiễu hỉ,2
cát sê,cát ê,1
miếng khi đói bằng gói khi no,miếùng khi đóự bằng gói khi no,2
tay chân vóc dạc,tớy chân vóc dạc,1
cho áo còn tiếc dải,cho áo còzn tiếc dải,1
kẽm,kxm,1
thân xương,thân xươcg,1
nhếch mép,ựnhếch hép,2
chòng ghẹo,cshòngúghẹo,2
giếng mỏ,gíiếng mỏ,1
trứng lộn,trứng lfôn,2
béo,béấo,1
cầm đằng cán,cầm đầng ừcán,2
tàn lụi,tn lụi,1
sì sụt,sì sđt,1
vung tàn tán,ẻvung tứàn tán,2
xấu mặt chặt dạ,xấu mặt chặợ dạ,1
đồi mồi,dđồz mồi,2
giáo dục học,giáo dục họơc,1
cũng,hcũg,2
ít lời,ít lởi,1
đòng,đòkg,1
gợi,gbiử,2
đáng tiền,đáúng tiền,1
cao ngồng,cao nẳgồng,1
bài ca,ài ca,1
Tiên Hội,Táên Hội,1
ối trời ơi,ốứi tỉời ơi,2
ngắc,nyc,2
trung cấp,kung cấp,2
khủng bố trắng,khủná bố trắng,1
áp tới,áp tớzip,2
tuyến đầu,tữyến qầu,2
khu trục,kểhu ậtrục,2
bất hạnh,bất ớhạmnh,2
áp tải,ápầtẽải,2
chỉ chực,ecứỉ chực,2
ông phệnh,ôníphệnh,2
rau câu,rau crâu,1
bẹ,bẹé,1
nể,ũn,2
hạp,hạ p,1
hèn đớn,ỵhèn đớún,2
diệt chủng,dôiệt chủng,1
taka,aka,1
cọc cọc,cọcấ cọc,1
cầu phúc,ẩu phúc,2
Trung Nguyên,òTrung Nguyên,1
quen quén,quen ôuén,1
Tân Quới,Tâãn Quới,1
dân thanh,ĩdỗân thanh,2
lỗm bỗm,lỗm bỗỷ,1
hà khốc,hà hốc,1
vô thừa tự,vô thừố tu,2
hồng,ẳồỏng,2
phụng mệnh,yphụng mệunh,2
điêu ngoa,điu ngoa,1
đáng tin,đáng tẹn,1
phận hèn,phậùn hèộn,2
ăn rơ,ă r,2
kịp thời,ểkịp thi,2
la hán,ụa hán,1
jin,jặn,1
miễn lễ,miễn ửl,2
lẻng xẻng,lẻng xẻnng,1
đi chăng nữa,đi hăng nữa,1
thái âm,tỗái âm,1
vang bóng,ẽang bóng,1
mất trộm,mấá trm,2
trang chủ,rang cỉủ,2
độ dẫn điện,độ dẫn iệậ,2
ánh mắt,ánóh mắ,2
phấn vua lộc nước,phấn vualộc nước,1
mặt tươi như hoa,mặt tươi như hola,1
trở quẻ,trở qẻ,1
sao mà,sao m,1
bắt rễ xâu chuỗi,bắt rễắ xâu huỗi,2
chí tang bồng,chí tano ồng,2
hiêng hiếng,hiên hiếêng,2
dây kẽm,xây kẽm,1
sáp,ỳsáìp,2
Cam An,wm An,2
xã hội hoá,xã hừi hoá,1
đàn phách,àn phũch,2
thuỳ,tuỳ,1
đường cáp treo,đường cápẩ treo,1
cách mạng vô sản,cách mạng vô snn,1
Thiệu Long,Tiệu Long,1
chỉ có,chỉ cô,1
tự biên tự diễn,tự biên tựựdiễn,1
diện mạo,diệứn mạo,1
chống càn,chống ớàn,1
đầy ói,đầeé ói,2
bó gối,ớó gối,1
khen nhà giàu lắm thóc,ken nhà giàu lắm thóc,1
trực trùng,trực trùừởng,2
xung động,ùxung động,1
lãng trí,lnòg trí,2
ngọc đường,ngọ đườn,2
Tân Dân,Tânĩ Dânả,2
ám chúa,ám chỏúa,1
tiểu tổ,tiể tổ,1
đấy,đấ,1
ban sơ,ban sạ,1
đường khâu,đường kèâu,1
cu đơ,cuđơ,1
Bắc Ninh,Bắc Niớh,1
vân vi,vân úi,1
cho qua,chưo qu,2
tỏi gà,tỏi àẵ,2
bắt mắt,bắé mắt,1
chẳng nước gì,chẳng nước gế,1
tổng sản phẩm quốc dân,tổng sản pắhẩm quố dân,2
confetti,confetthi,1
đệm bóng,đệm bóá,2
dé chân chèo,déẵ chân cho,2
lây,lểđy,2
thoả hiệp,tĩoíả hiệp,2
kiết lị,kiết lịừ,1
quai gót,quai gẳầt,2
để râu,ể râu,1
ngán ngao,ngán ngaốo,1
tinh sai,tin sa,2
nhan nhản,nhan ọnhả,2
cú pháp học,ú pháp ọc,2
ngừng,ngng,1
Thắng Thuỷ,Thắnểg Thuw,2
hôm tê,ủôm tdê,2
chễm chện,chễg chẵn,2
gram,ọram,1
"mềm như con mài mại, nhũn như con chi chi","mềm như con mài mại, nhn như conỹ chi chi",2
vạ miệng,ọạ miệnhg,2
ngồi ngây như tượng gỗ,ngồi ngây như tưég gỗ,2
tổ nghiệp,tổ ghiảệp,2
đốt phá,đố ptá,2
bạt tai,bồ tai,2
nhún nhẩy,nhún nhẩựyế,2
lai hàng,lai h àngũ,2
dài dằng dặc,dẫàil dằng dặc,2
rộng khổ,rộg vkhổ,2
bá chín,báccín,2
miệng kẻ sang có gang có thép,miệng kẻ sang có gang có thèép,1
tiếng chào cao hơn mâm cỗ,téếng chào cao hơn mâm cỗ,1
thượng lưu,ứhượns lưu,2
món ăn,mờn ăn,1
hải quan,hẻi quan,1
ẩn lánh,ẩn lĩnh,1
ngỏng cổ,ngỏừng cổ,1
tăng-sông,tăng-ssông,1
dịch tễ học,dịch tễ õỗọc,2
ngứa ghẻ hờn ghen,ngứav ghẻ hờn gen,2
tì thiếp,tìthiếp,1
dẫn xác,dnxác,2
rứt ruột,rứt ruộ,1
cơ đốc giáo,ècơ đc giáo,2
biểu dương,biểu dươđng,1
có lí,có líổ,1
y phục,y àphục,1
giận lẫy sẩy cùi,ĩiận lẫy ữsẩy cùi,2
nại chứng,nại chứng,0
hạ tuần,hạ tun,1
hủ nho,hằnho,2
bị cáo,ẫbị cáo,1
tính từ,tíh từ,1
vàng nén,vàẵẹg nén,2
nụ cà hoa mướp,nụ cà hoẳ mưốớp,2
lòng son dạ sắt,lònứ son dạ sắt,1
nhoét,nhot,1
tươi tắn,jơi tắn,2
một chốn đôi quê,ếột chốn đôi quê,1
xõm,xờm,1
hạ cố,hạíô cố,2
bắt chẹt,ọtbắt chẹt,2
chấp phất,chấp phấệ,1
lục soạn,lục soạ,1
sợ mất mật,ùsợ mất mật,1
thành lệ,thbành ệ,2
sành điệu nghệ,sànhđiệuấnghệ,2
hết tiệt,hết ệtit,2
Yên Nghĩa,Yênộ Ngĩa,2
tỉa gọt,tỉa gọkt,1
đã khó chó cắn thêm,đã khó có cắn thêm,1
trùng vi,tậrùng vi,1
vang bóng một thời,vaúng bng một thời,2
xã hội đồ,xãhội đồ,1
thuỷ tộc,kthuỷ tộc,1
cử hành,cử ành,1
ngoại thận,ngyại thậmn,2
khất lần,khất ln,1
Thiệu Thành,Thiệ Thành,1
săn gân,săna gâ,2
lẩm nhẩm,õẩm nhẩ,2
cẩn thận,ụcẩn thận,1
an toàn khu,an toầàn khu,1
a-la-văng,a-la-vănẹ,1
nghịch thần,nghịch âần,2
chỉ xác,hỉ xácầ,2
ậc,ự,2
công chính,ông chíh,2
là,ằàụ,2
"vắng chúa đàn, tan con nghé","vắng chúa đàn, taf con nghé",1
bồ-tạt,bồ-tộạt,1
quyền uy,quóyển uy,2
thung thăng,thung hăng,1
trung khu,trung khu,0
đánh đu với tinh,ờđánh đu với tinh,1
thịch,thịcởh,1
nước ót,nước ẻt,1
lòm khòm,lòcm khòm,1
tầm bỏi,tầmbỏi,1
khác gì,kác gì,1
lễ giáo,lễ ủiáo,1
đâm nghi,đâmổ nghại,2
mặc cả,mặc cảă,1
quan hoả,quýan hoả,1
trời trồng,trờo trồng,1
dây guồi,dây uvi,2
thu hút,tửuế hút,2
trai gái,trai gá,1
vô vị,v vị,1
kín như bưng; kín như hũ nút,kín như bưng; kín nh hũ nút,1
đờ-măng,đờ-ăng,1
an-te,n-te,1
chẩm cầm,chẩmú cầm,1
Sơn Điện,SơnĐiệ,2
nằm sượt,dnìằm sượt,2
và,,2
giả nghĩa giả nhân,gả nghĩa giả nhâ,2
mích lòng,mích íòng,1
quốc hồn,quốv ồn,2
Thượng Vực,Thượng ực,1
bo bo như thần giữ của,bo boốnhư thần giữ của,1
bạc,bạcm,1
nhờn,nhờủ,1
trống lấp,trng lấp,1
mắt hoe cá chày,mắtồoe cá chày,2
e dè,e dèv,1
lảng lảng,ảng lảg,2
dấn bước,nzấn bước,2
cười khúc khích,cười kúc ửhích,2
xưng hô,xưn ạô,2
thoát nạn,thoá nạn,1
lính khố vàng,línhu khố vàng,1
văn đàn,vănậ đàữ,2
bung búng như ngậm hột thị,bung búngc như ngậm hột thị,1
củ mì,củ ẽmỹ,2
tối qua,tụằi qua,2
nam tính,nam âtính,1
cây điều,cây đũều,1
mát mặt chặt dạ,mát mặt chặt dạỡ,1
thắt nút,thắt núựt,1
lòng đỏ,òng đỏ,1
dưỡng khí,dưỡn khí,1
biếm hoạ,biếý huạ,2
fa-ra,faôra,1
tẩm bột,tẩm ỷột,1
tổ ong,tổ oộg,1
súng liên thanh,súng iên thônh,2
hỗn nguyên,hỗn nuyên,1
được đằng chân lân,đằc đằng chân lân,2
vung văng,vung vănbg,1
dương trần,dương trạn,1
ngự bút,ngựế út,2
để tóc,ể tóc,1
An Bình B,n Bình B,1
chân răng,chân răpg,1
cau liên phòng,cau liê phòngh,2
siêu đế quốc (chủ nghĩa),shiêu đế ếquốc (chủ nghĩa),2
pháo hiệu,psáo hiệu,1
vỗ yên trăm họ,vỗ yên târăm họ,1
mành thánh,mànhềtạánh,2
kem cây,em cây,1
kĩ nghệ gia,ĩ nghệ gia,1
chõng,cõỡg,2
nghều nghễu,nghềồu nghễu,1
tình huống,ình huống,1
hoá đàm,oá àm,2
cũn cỡn,cũn ucỡún,2
cần kiệm liêm chính,cần ẻiệm liêm chính,1
thuyền chủ,thujyền chủ,1
thù du,thù ưu,1
ăn tuyết nằm sương,ăn tòuyết nằm sương,1
to xù,to xfùă,2
buồng đào,bung đàê,2
chạy tiền,cặhạy ễtiền,2
chân chó,hân cvó,2
nằm lăn,nằ lăn,1
"của đi rề rề, của về nghễu nghện","của đi rề rề, của về ảnghễu nghện",1
vạn thọ vô cương,vạn thẳọẹvô cương,2
dền cơm,an cơm,2
trây lưòi,ây lưòi,2
bia,bxia,1
lộ bàng,lộbàng,1
thuần phục,thuẳầòn phục,2
accordeon,acordeằon,2
nuốt tươi,nuốt tcơi,1
danh mục,daah ục,2
yên phận thủ thường,yên pìhận th thường,2
thiết thực,thiết thựcũ,1
mợ,ợ,1
mức thiếu hụt,ỹức thiếu hụt,1
chiêu bài,ciê bài,2
hạnh,hừạnhể,2
tứ hải giai huynh đệ,tứ hải giai hynềh đệ,2
lưu tán,lưụtán,2
cóng,cếửng,2
chí tái chí tam,chí tái hí tam,1
tiên kiến,tiên ồiế,2
Nông Trường Mộc Châu,Nông Trưềờng Mộc Châu,1
cô-nhắc,cô-nhắồc,1
nhận vơ,hậnvơ,2
hầm mìn,hậầm mìn,1
long giáng,ảong giớng,2
quỷ sứ nhà trời,uỷ sứ nhà trời,1
giũ lông,giũ lônga,1
mẩm dạ,mẩm d,1
Sán Chỉ,Sỳn Chỉ,1
loạn sản,loạn ảản,1
Thới Long,Thới Loộg,1
tuyên cáo,tuyênỵcá,2
nghe trộm,ngheờrộm,2
bài bạc,bài bc,1
vô ý,vô ấý,1
phọt phẹt,phọqt phẹt,1
ba-lê,rba-lê,1
trù tính,tr ính,2
rút thăm,rút thăm,0
phé,ợõphé,2
thần hôn,thn ôn,2
vụn như cám,ỉụn như cm,2
nguyên tắc tính,nguyòn tắ tính,2
hung hãn,ung hãn,1
trồng trái,trnẹg trái,2
tính toan,tín toan,1
tiềm,tipạm,2
màn,ămệàn,2
nhỡ độ đường,nhẳ độ đường,1
có học,có ọc,1
thôi chanh,thvi chanh,1
văn ôn vũ luyện,văn ônềẻũ luyện,2
một mười một chín,mộf mười một chín,1
cuốn trôi,ớuốn trôi,1
Yên Thuỷ,Yên Tụhuw,2
thanh thủy,tanh thủy,1
sinh trưởng,sinh tớưởng,1
quýu,quh,2
Song Thuận,Song ứhyận,2
giải độc tố,giảóa độc tố,2
to đầu mà dại,to đu jà dại,2
Trần Phủ,Trn Phủ,1
đoái,đi,2
kịch múa,kịcảmúa,2
xốc nổi,ố nổi,2
vẫn thạch,vẫnốthạch,1
thua keo này bày keo khác,tha keo này bày keo khác,1
bình diện,boìn diện,2
gặt hái,ẳặtrhái,2
giấp giới,giấp ằiới,1
đạn bom,đzn bom,1
cầm gươm đằng lưỡi,cầm wgươmằ đằng lưỡi,2
huynh đệ như thủ túc,huynh đệ nhưthủ túc,1
vũ giai,vũ ỹiai,1
đóng yên,đóng ên,1
sự việc,sự vữệ,2
lan quế,lan uếử,2
Thạnh Đức,Tệhạnh Đứ,2
ghê,ghêờ,1
sơn sống,sơn ốống,1
thích thú,thích th,1
phúc thư,púc thư,1
nhập diệu,nhậpk diệu,1
bặt vô âm tín,bặt vôâm tín,1
quốc tế vô sản,quốc tế vô zsản,1
chân quỳ,chân qu,1
luồng,lãuồng,1
há hốc,há ốc,1
mực,ực,1
sóc-cảnh,sóếncảnh,2
vết chàm,vết cẽàm,1
khó đọc,kh đọc,1
đặc cách,đặc ách,1
sui,sẵi,1
ông tơ bà nguyệt,ônỳg tơ bà nguệt,2
oi oi,oi ỷoi,1
Tân Quy,ợn Quy,2
trống lệnh,trốn  lệnh,1
cõi tiên,cõk tiên,1
triêu,triu,1
đảng trị,đảổn trị,2
vazơlin,vazơli,1
trẩu đồng,tjẩul đồng,2
béo ngậy,béoàngậy,1
ứ hự,ứặhự,1
bình thản,bình thyắản,2
chào thưa,chàưo thưa,1
hoáng,hánở,2
máy phay,máyphay,1
chờ mỏi cả mắt,chờ éỏi cả mắt,1
dị vực,dị vc,1
chế độ đối ngẫu hôn,chế độ ịđối ngẫu úôn,2
quyền quí,quặền quẳí,2
rượu sớm trà trưa,rượu sớm trà ủtrưaợ,2
dở ngọng dở nghịu,dở ngọng ẵở nghu,2
cứu cánh,đcu cánh,2
điều chỉnh,đãều chĩỉnh,2
chưa đủ lông đủ cánh,chsa đủ lông ựđủ cánh,2
đi tong,i tong,1
Trung Liệt,Trun Liệt,1
cụp,cẽụp,1
ngủ rũ,ngủ rõxũ,2
lãi ròng,ựđãi ròng,2
chuyên biệt,òhuyên ĩiệt,2
sang trang,sanểg trang,1
đường phèn,đưiờng phèn,1
eo sách,eo ách,1
đỏng đa đỏng đảnh,đỏng đỉa đỏng đảnh,1
ao ảo,ao ềo,1
trạng huống,òtrạng huống,1
đầu van,đầu vaơq,2
thọ,tọ,1
thời sự hóa,thờisự hóa,1
giữ gìn,giữ ìn,1
đi đây đi đó,đi đây ỗđi đó,1
thay trời trị dân,ạhay trời trỉ dân,2
hối hả,hố ả,2
mạt gà,mạt à,1
dốc đứng,ờốc đứng,1
mật kế,mạ kế,2
nửa thì,nửath,2
con đực,coển đực,1
quy hoạch đô thị,quy hoạch đô tnị,1
công hữu hoá,ơông hữu hoá,1
cá no mồi cũng khó dử lên,cá noẽ mồi cũng khó dử lên,1
ghé mắt,gưé mắêt,2
nhõng nhẹo,nhõng nhẹạoỳ,2
phơ phơ,phơê phơ,1
đường trung trực,đường trunăg trực,1
đất khách quê người,đất khách ờquê ngưỳi,2
gió đông,gióqđông,1
nhụt,nhụụ,1
màu cờ sắc áo,màu cờ sắ o,2
